"id","bism","brgew","ersda","ferth","groes","laeda","maktx","matnr","meins","normt","ntgew","tragr","wrkst","createddate","is_active","modifieddate"
520214,NULL,"1260.000","2016-05-30","","","2023-10-16","VLV,B.FLY,MOV,A216 WCB,34IN,150","4821244134","EA","","0","",NULL,"2023-11-29 13:25:11.457791",True,"2023-11-29 13:25:11.457808"
520213,NULL,"0","2009-07-03","","","2023-10-12","FL, SP, BL, AS, A-182 F-11, 10IN, 900","4547184414","EA","","0","",NULL,"2023-11-29 13:25:11.455309",True,"2023-11-29 13:25:11.455326"
520212,NULL,"0","2021-11-24","","","2023-10-16","COMPRESSION SLEEVE,P/N:116350000","1598057171","EA","","0","",NULL,"2023-11-29 13:25:11.452905",True,"2023-11-29 13:25:11.452922"
520211,NULL,"0","2023-10-13","","","0000-00-00","UNBOTTLED T-SHIRT","0899010019","EA","","0","0001",NULL,"2023-11-29 13:25:11.450381",True,"2023-11-29 13:25:11.450406"
520210,NULL,"0","2023-10-05","","","2023-10-06","UNBOTTLED T-SHIRT","0899010014","EA","","0","0001",NULL,"2023-11-29 13:25:11.436497",True,"2023-11-29 13:25:11.436545"
486669,NULL,"0","2003-06-02","","","2023-10-30","CORROSION INHIBITOR DORF-1440","8814090164","KG","","0","0001",NULL,"2023-11-28 15:20:01.112",True,"2023-11-28 15:20:01.112"
486668,NULL,"0","2018-12-20","","","2023-10-19","CATTRAP-50","8808511341","FT3","","0","0001",NULL,"2023-11-28 15:20:01.096",True,"2023-11-28 15:20:01.096"
486667,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,16M^3/H","8199150514","EA","","0","0001",NULL,"2023-11-28 15:20:01.096",True,"2023-11-28 15:20:01.096"
486666,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,6M^3/HR","8199150494","EA","","0","0001",NULL,"2023-11-28 15:20:01.096",True,"2023-11-28 15:20:01.096"
486665,NULL,"0","2020-01-20","","","2023-10-25","2.5 SCMH METER REGULATOR","8199150444","EA","","0","0001",NULL,"2023-11-28 15:20:01.096",True,"2023-11-28 15:20:01.096"
486664,NULL,"0","2011-06-27","","","2023-10-16","CABLE POWER  AL 3.5CX50SQ.MM XLPE ARM","7732143054","M","","0","0001",NULL,"2023-11-28 15:20:01.096",True,"2023-11-28 15:20:01.096"
486663,NULL,"1260.000","2016-05-30","","","2023-10-16","VLV,B.FLY,MOV,A216 WCB,34IN,150","4821244134","EA","","0","",NULL,"2023-11-28 15:20:01.096",True,"2023-11-28 15:20:01.096"
486662,NULL,"0","2009-07-03","","","2023-10-12","FL, SP, BL, AS, A-182 F-11, 10IN, 900","4547184414","EA","","0","",NULL,"2023-11-28 15:20:01.081",True,"2023-11-28 15:20:01.081"
486661,NULL,"0","2021-11-24","","","2023-10-16","COMPRESSION SLEEVE,P/N:116350000","1598057171","EA","","0","",NULL,"2023-11-28 15:20:01.081",True,"2023-11-28 15:20:01.081"
486660,NULL,"0","2023-10-13","","","0000-00-00","UNBOTTLED T-SHIRT","0899010019","EA","","0","0001",NULL,"2023-11-28 15:20:01.081",True,"2023-11-28 15:20:01.081"
486659,NULL,"0","2023-10-05","","","2023-10-06","UNBOTTLED T-SHIRT","0899010014","EA","","0","0001",NULL,"2023-11-28 15:20:01.065",True,"2023-11-28 15:20:01.065"
486415,NULL,"0","2003-06-02","","","2023-10-30","CORROSION INHIBITOR DORF-1440","8814090164","KG","","0","0001",NULL,"2023-11-27 12:23:39.92",True,"2023-11-27 12:23:39.92"
486414,NULL,"0","2018-12-20","","","2023-10-19","CATTRAP-50","8808511341","FT3","","0","0001",NULL,"2023-11-27 12:23:39.917",True,"2023-11-27 12:23:39.917"
486413,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,16M^3/H","8199150514","EA","","0","0001",NULL,"2023-11-27 12:23:39.915",True,"2023-11-27 12:23:39.915"
486412,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,6M^3/HR","8199150494","EA","","0","0001",NULL,"2023-11-27 12:23:39.913",True,"2023-11-27 12:23:39.913"
486411,NULL,"0","2020-01-20","","","2023-10-25","2.5 SCMH METER REGULATOR","8199150444","EA","","0","0001",NULL,"2023-11-27 12:23:39.91",True,"2023-11-27 12:23:39.91"
486410,NULL,"0","2011-06-27","","","2023-10-16","CABLE POWER  AL 3.5CX50SQ.MM XLPE ARM","7732143054","M","","0","0001",NULL,"2023-11-27 12:23:39.908",True,"2023-11-27 12:23:39.908"
486409,NULL,"1260.000","2016-05-30","","","2023-10-16","VLV,B.FLY,MOV,A216 WCB,34IN,150","4821244134","EA","","0","",NULL,"2023-11-27 12:23:39.905",True,"2023-11-27 12:23:39.905"
486408,NULL,"0","2009-07-03","","","2023-10-12","FL, SP, BL, AS, A-182 F-11, 10IN, 900","4547184414","EA","","0","",NULL,"2023-11-27 12:23:39.902",True,"2023-11-27 12:23:39.902"
486407,NULL,"0","2021-11-24","","","2023-10-16","COMPRESSION SLEEVE,P/N:116350000","1598057171","EA","","0","",NULL,"2023-11-27 12:23:39.9",True,"2023-11-27 12:23:39.9"
486406,NULL,"0","2023-10-13","","","0000-00-00","UNBOTTLED T-SHIRT","0899010019","EA","","0","0001",NULL,"2023-11-27 12:23:39.896",True,"2023-11-27 12:23:39.896"
486405,NULL,"0","2023-10-05","","","2023-10-06","UNBOTTLED T-SHIRT","0899010014","EA","","0","0001",NULL,"2023-11-27 12:23:39.883",True,"2023-11-27 12:23:39.883"
486161,NULL,"0","2003-06-02","","","2023-10-30","CORROSION INHIBITOR DORF-1440","8814090164","KG","","0","0001",NULL,"2023-11-27 12:21:34.297",True,"2023-11-27 12:21:34.297"
486160,NULL,"0","2018-12-20","","","2023-10-19","CATTRAP-50","8808511341","FT3","","0","0001",NULL,"2023-11-27 12:21:34.294",True,"2023-11-27 12:21:34.294"
486159,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,16M^3/H","8199150514","EA","","0","0001",NULL,"2023-11-27 12:21:34.292",True,"2023-11-27 12:21:34.292"
486158,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,6M^3/HR","8199150494","EA","","0","0001",NULL,"2023-11-27 12:21:34.29",True,"2023-11-27 12:21:34.29"
486157,NULL,"0","2020-01-20","","","2023-10-25","2.5 SCMH METER REGULATOR","8199150444","EA","","0","0001",NULL,"2023-11-27 12:21:34.286",True,"2023-11-27 12:21:34.288"
486156,NULL,"0","2011-06-27","","","2023-10-16","CABLE POWER  AL 3.5CX50SQ.MM XLPE ARM","7732143054","M","","0","0001",NULL,"2023-11-27 12:21:34.285",True,"2023-11-27 12:21:34.285"
486155,NULL,"1260.000","2016-05-30","","","2023-10-16","VLV,B.FLY,MOV,A216 WCB,34IN,150","4821244134","EA","","0","",NULL,"2023-11-27 12:21:34.28",True,"2023-11-27 12:21:34.28"
486154,NULL,"0","2009-07-03","","","2023-10-12","FL, SP, BL, AS, A-182 F-11, 10IN, 900","4547184414","EA","","0","",NULL,"2023-11-27 12:21:34.278",True,"2023-11-27 12:21:34.278"
486153,NULL,"0","2021-11-24","","","2023-10-16","COMPRESSION SLEEVE,P/N:116350000","1598057171","EA","","0","",NULL,"2023-11-27 12:21:34.275",True,"2023-11-27 12:21:34.275"
486152,NULL,"0","2023-10-13","","","0000-00-00","UNBOTTLED T-SHIRT","0899010019","EA","","0","0001",NULL,"2023-11-27 12:21:34.273",True,"2023-11-27 12:21:34.273"
486151,NULL,"0","2023-10-05","","","2023-10-06","UNBOTTLED T-SHIRT","0899010014","EA","","0","0001",NULL,"2023-11-27 12:21:34.258",True,"2023-11-27 12:21:34.258"
471944,NULL,"0","2003-06-02","","","2023-10-30","CORROSION INHIBITOR DORF-1440","8814090164","KG","","0","0001",NULL,"2023-11-24 15:32:00.715844",True,"2023-11-24 15:32:00.715863"
